url,address,location,price,detail1,detail2,page
"https://www.loopnet.com/Listing/132-Locksley-Ave-San-Francisco-CA/39628908/","132 Locksley Ave","San Francisco, CA 94122","$2,200,000","4.66% Cap Rate","4 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/2766-2780-Argyll-Ave/39628492/","2766 & 2780 Argyll Ave","","$2,590,000","2 Multifamily Properties","","2"
"https://www.loopnet.com/Listing/2705-Homestead-Rd-Santa-Clara-CA/39628428/","2705 Homestead Rd","Santa Clara, CA 95051","$6,200,000","4.87% Cap Rate","19 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/33638-9th-St-Union-City-CA/39618197/","33638 9th St","Union City, CA 94587","$1,195,000","3.76% Cap Rate","3 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/1527-8th-St-Alameda-CA/39617222/","1527 8th St","Alameda, CA 94501","$1,650,000","4.09% Cap Rate","5 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/144-148-Sanchez-St-San-Francisco-CA/39607266/","144-148 Sanchez St","San Francisco, CA 94114","$2,700,000","5.03% Cap Rate","5 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/3525-Dimond-Ave-Oakland-CA/39606824/","3525 Dimond Ave","Oakland, CA 94602","$6,500,000","8.79% Cap Rate","42 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/603-22nd-St-Oakland-CA/39606411/","603 22nd St","Oakland, CA 94612","$2,650,000","6.28% Cap Rate","9 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/1535-Julia-St-Berkeley-CA/39604880/","1535 Julia St","Berkeley, CA 94703","$1,290,000","5.86% Cap Rate","5 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/2241-9th-St-Berkeley-CA/39595711/","2241 9th St","Berkeley, CA 94710","$1,600,000","5 Unit Apartment Building","4,750 SF","3"
"https://www.loopnet.com/Listing/1661-Fruitvale-Ave-Oakland-CA/39580903/","1661 Fruitvale Ave","Oakland, CA 94601","$995,000","6.70% Cap Rate","6 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/257-Poplar-Ave-Hayward-CA/39578606/","257 Poplar Ave","Hayward, CA 94541","$4,300,000","5.80% Cap Rate","12 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/128-E-Reed-St-San-Jose-CA/39578564/","128 E Reed St","San Jose, CA 95112","$2,475,000","5.04% Cap Rate","6 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/15-Hawthorne-Way-San-Jose-CA/39550275/","15 Hawthorne Way","San Jose, CA 95110","$9,500,000","4.58% Cap Rate","25 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/143-19th-St-Richmond-CA/39546659/","143 19th St","Richmond, CA 94801","$1,250,000","6.31% Cap Rate","4 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/4045-Manila-Ave-Oakland-CA/39533419/","4045 Manila Ave","Oakland, CA 94609","$1,475,000","4.62% Cap Rate","4 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/500-Buena-Vista-Ave-Alameda-CA/39514776/","500 Buena Vista Ave","Alameda, CA 94501","$3,100,000","5.61% Cap Rate","10 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/Forestdale-Ave-Apartments-Portfolio/39506411/","Forestdale Ave Apartments Portfolio","","$5,195,000","4.33% Cap Rate","2 Multifamily Properties","3"
"https://www.loopnet.com/Listing/545-Hampshire-Ave-Redwood-City-CA/39495311/","545 Hampshire Ave","Redwood City, CA 94063","$1,628,000","4.84% Cap Rate","4 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/299-Rhine-St-Daly-City-CA/39495160/","299 Rhine St","Daly City, CA 94014","$1,400,000","4.40% Cap Rate","3 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/761-Shepherd-Ave-Hayward-CA/39493899/","761 Shepherd Ave","Hayward, CA 94544","$1,395,000","5.68% Cap Rate","4 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/181-Units-75-Easy-Management/39493779/","181 Units - 7.5% - Easy Management","","American Liberty Investments","$33,486,000","7.50% Cap Rate","3"
"https://www.loopnet.com/Listing/620-Alamo-Ct-Mountain-View-CA/39493624/","620 Alamo Ct","Mountain View, CA 94043","$12,500,000","5.01% Cap Rate","25 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/21447-461-Ocean-View-Dr-Hayward-CA/39491646/","21447-461 Ocean View Dr","Hayward, CA 94541","$1,350,000","6.55% Cap Rate","8 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/1040-1042-Howard-St-San-Francisco-CA/39489513/","1040-1042 Howard St","San Francisco, CA 94103","$2,450,000","5.98% Cap Rate","9 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/219-E-Blithedale-Ave-Mill-Valley-CA/39480621/","219 E Blithedale Ave","Mill Valley, CA 94941","$2,500,000","4.52% Cap Rate","5 Unit Apartment Building","3"
"https://www.loopnet.com/Listing/5412-Claremont-Ave-Oakland-CA/39479138/","5412 Claremont Ave","Oakland, CA 94618","American Liberty Investments","$9,874,000","4.70% Cap Rate","3"
"https://www.loopnet.com/Listing/3-Financing-Easy-Management-205-Sqft/39479120/","3% Financing - Easy Management $205 Sqft","","American Liberty Investments","$6,650,000","6.10% Cap Rate","3"
"https://www.loopnet.com/Listing/77-83-9th-St-San-Francisco-CA/39479099/","77-83 9th St","San Francisco, CA 94103","American Liberty Investments","$10,500,000","5.30% Cap Rate","3"
"https://www.loopnet.com/Listing/1618-1632-Mason-St-San-Francisco-CA/39479062/","1618-1632 Mason St","San Francisco, CA 94133","American Liberty Investments","$12,700,000","5.20% Cap Rate","3"
"https://www.loopnet.com/Listing/5499-Claremont-Ave-Oakland-CA/39478986/","5499 Claremont Ave","Oakland, CA 94618","American Liberty Investments","$7,152,000","4.80% Cap Rate","4"
"https://www.loopnet.com/Listing/303-Lee-St-Oakland-CA/39478950/","303 Lee St","Oakland, CA 94610","American Liberty Investments","$7,450,000","5.30% Cap Rate","4"
"https://www.loopnet.com/Listing/2505-2525-10th-Ave-Oakland-CA/39478877/","2505-2525 10th Ave","Oakland, CA 94606","American Liberty Investments","$6,250,000","7.60% Cap Rate","4"
"https://www.loopnet.com/Listing/2605-9th-Ave-Oakland-CA/39478850/","2605 9th Ave","Oakland, CA 94606","American Liberty Investments","$2,598,000","7.20% Cap Rate","4"
"https://www.loopnet.com/Listing/2124-90th-Ave-Oakland-CA/39478787/","2124 90th Ave","Oakland, CA 94603","American Liberty Investments","$5,395,000","10.50% Cap Rate","4"
"https://www.loopnet.com/Listing/1810-E-25th-St-Oakland-CA/39478687/","1810 E 25th St","Oakland, CA 94606","American Liberty Investments","$3,995,000","23 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/2-Arundel-Rd-Burlingame-CA/39478555/","2 Arundel Rd","Burlingame, CA 94010","$3,695,000","3.15% Cap Rate","6 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/1526-Arch-St-Berkeley-CA/39478206/","1526 Arch St","Berkeley, CA 94708","$3,840,000","5.00% Cap Rate","10 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/305-Oak-St-San-Francisco-CA/39467058/","305 Oak St","San Francisco, CA 94102","$2,128,000","5.07% Cap Rate","5 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/123-133-Echo-Ave-Oakland-CA/39466826/","123-133 Echo Ave","Oakland, CA 94611","$2,395,000","5.79% Cap Rate","8 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/1405-Merced-St-Richmond-CA/39464037/","1405 Merced St","Richmond, CA 94804","Ping An Property LLC","$1,850,000","5.80% Cap Rate","4"
"https://www.loopnet.com/Listing/3257-Delaware-St-Oakland-CA/39454658/","3257 Delaware St","Oakland, CA 94602","$1,350,000","6.15% Cap Rate","5 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/1290-26th-Ave-Oakland-CA/39434354/","1290 26th Ave","Oakland, CA 94601","$3,695,000","7.49% Cap Rate","24 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/388-9th-St-Oakland-CA/39405537/","388 9th St","Oakland, CA 94607","$1,280,000","1 Unit Available","Retail Condo","4"
"https://www.loopnet.com/Listing/1360-Berkeley-Way-Berkeley-CA/39393487/","1360 Berkeley Way","Berkeley, CA 94702","$4,999,999","6.95% Cap Rate","19 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/462-466-Linden-St-San-Francisco-CA/39390139/","462-466 Linden St","San Francisco, CA 94102","$2,200,000","5.10% Cap Rate","4 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/9235-Holly-St-Oakland-CA/39389892/","9235 Holly St","Oakland, CA 94603","$885,000","7.45% Cap Rate","5 Unit Apartment Building","4"
